Region,project,bp_from,bp_to,km from,km to,distance,Bemerkungen,date from,date to,amount of weeks,Umsetzung /  Intervalltyp / Umleitung,reduction of capacity,bis_geopos,von Betriebspunkt
ROT,Sanierung Notbeleuchtung / Selbstrettung Heitersberg,KLW,MELH,,,,Nach Möglichkeit G-Trassen 00.30-05.30h  im JFP ohne Begegnung im Heitersberg,1/7/2025,12/22/2025,50,Sperre Strecke Nacht,0.5,"47.4280750785, 8.27636329083",Mellingen Heitersberg,2
ROT,AS25 SIB Überholgleis,SIB,SIB,,,,Bauphasen gem. Studienbericht so kaum bewilligungsfähig,7/1/2025,5/15/2028,150,Umsetzung,0.25,"47.1826706698, 8.90071365596",Siebnen-Wangen,0
ROT,STAE Anpassung Bahnzugang,STAE,STAE,,,0,,1/1/2025,12/1/2026,100,Umsetzung,,"47.2405272079, 8.72165283054",Stäfa,0
ROT,FbE24 FB-RW,FB,RW,,,2.017,Koo mit 1158890 KUEW-RW Erneuerung FS+Bel. Nötig,2/26/2024,4/7/2024,6,Sperre Strecke Nacht,0.25,"47.2248871845, 8.81674495291",Rapperswil,2
ROT,FbE24: HER Gl. 3 (ex FbE 22),HERL,HERL,,,0.398,,5/1/2024,5/28/2024,4,Sperre Bahnhof Nacht,0.5,"47.2818266004, 8.61273348833",Herrliberg-Feldmeilen,5
ROT,WIN - HERL: Instands Stb's Grüt I + Pfaffen,WIN,HERL,,,0,Intervalle noch ohne Konzept,4/1/2025,10/27/2025,30,Sperre Strecke Nacht,0.5,"47.2818266004, 8.61273348833",Herrliberg-Feldmeilen,2
ROT,"FbE25 UER. Gl. 2,3 (ex FbE 22)",UER,UER,,,0,Intervallkonzept fehlt,3/1/2025,4/25/2025,8,Sperre Strecke Nacht,0.5,"47.2358608014, 8.75262523013",Uerikon,2
ROT,Umnutzung Gl. 987 BLU-RW,RW,BLU,,,0,evtl. Umsetzung bis 06/24,11/26/2023,6/22/2024,30,Sperre Strecke Nacht,0.25,"47.2236707178, 8.84240514771",Blumenau,2
ROT,Tunnelsanierung Käferberg,HRD,ZOER,,,0,gem PZ 27.08.20 voraussichtlich 2028,4/1/2026,9/15/2026,24,Sperre Strecke 24 Std,0.5,"47.4115300323, 8.54413989655",Zürich Oerlikon,3
ROT,AS35 ZFZ BUE-EGL,BUE,EGL,,,0,,1/1/2025,5/5/2026,70,Umsetzung,,"47.5723745199, 8.5165580286",Eglisau,0
ROT,Bau Passerelle Glasiareal BUE,BUE,BUE,,,0,"Bau ""Stadt Bülach"" (Kundenprojekt)",2/1/2024,7/9/2025,75,Sperre Bahnhof Nacht,0.25,"47.5239499588, 8.53620921292",Bülach,5
ROT,FsE24: NH Umsetzung Linienkonzept (ex 2020),NH,NH,,,0,"Konzept aus 2020 übernommen neu prüfen, Umleitung, FsE24 Ausführung jedoch 2025",8/3/2025,9/13/2025,6,Sperre Bahnhof Nacht,0.25,"47.683133385, 8.62493454502",Neuhausen,5
ROT,WN Überholgleis,WN,WN,,,0,,1/1/2024,12/15/2024,50,Umsetzung,,"47.1299210164, 9.09471050742",Weesen,0
ROT,FsE24 Mols - UNT,MOLS,UNT,,,4.4,Konflikt Rheintal,1/1/2024,12/15/2024,50,Umsetzung,0.25,"47.1138568354, 9.25501833667",Unterterzen,0
ROT,LQ Stw Ersatz,LQ,LQ,,,0,im Projekt 1161186,1/1/2024,11/30/2025,100,Umsetzung,,"46.9674404286, 9.55404467894",Landquart,0
ROT,"FbE24: W Gl. 43,44,61",WWE,W,,,1.1,Abgleich Brüttener: Was ist nötig.,3/1/2024,4/4/2024,5,Sperre Bahnhof Nacht,0.25,"47.5003337739, 8.72382110762",Winterthur,5
ROT,AS35 Brüttenertunnel Abschnitt BSD,BSD,BSD,,,0,,1/1/2026,8/31/2033,400,Umsetzung,0.25,"47.4385705613, 8.62622097081",Bassersdorf,0
ROT,BSD Stw Ersatz,BSD,BSD,,,0,im AS35 Brüttener Projekt,1/1/2029,12/1/2030,100,Umsetzung,,"47.4385705613, 8.62622097081",Bassersdorf,0
ROT,SG Stw Ersatz,SG,SG,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.4231789578, 9.36989672929",St Gallen,0
ROT,ZEB WAKO SG-SMG,SG,SMG,,,0,,1/1/2025,10/16/2029,250,Umsetzung,,"47.4532159757, 9.6382619195",St Margrethen,0
ROT,AS35 RS-RSST DS,RS,RSST,,,0,,1/1/2031,11/30/2032,100,Umsetzung,,"47.4755923529, 9.48936372278",Rorschach Stadt,0
ROT,RCK Stw Ersatz,RCK,RCK,,,0,,1/1/2028,11/30/2029,100,Umsetzung,,"47.4668859521, 9.5909126225",Rheineck,0
ROT,Fährhütten Neubau Haltestelle,SEV,TRUE,,,0,"Termine SAP: Ausführung 2025-2027, IBN 03/27!",1/1/2024,11/30/2025,100,Umsetzung,,"47.0715830597, 9.4803456152",Trübbach,0
ROT,BZN BehiG,BZN,BZN,,,0,"zu prüfende Konzeptidee:Tagsüber ausserhalb HVZ, kein kommerzieller Halt in BZN (Durchfahrt über Gl. 2, sofern frei), Bahnersatz für BZN",3/1/2024,4/25/2024,8,Sperre Bahnhof Nacht,1,"47.5004152503, 9.23403531753",Bischofszell Nord,5
ROT,WZ-KN Neubau Unterführung Usterstrasse,WZ,KN,,,0,gem LCM IBN 2026,1/1/2026,6/24/2026,25,Umsetzung,,"47.3320431153, 8.8047206925",Kempten,0
ROT,AS35 SEU Wendegleis,SEU,DIH,,,0,,1/1/2030,10/31/2033,200,Umsetzung,,"47.5533451481, 8.75298087411",Dinhard,0
ROT,"EdV OWT-STR Perronverlängerung 170m (TLH, OSS, EW)",OWT,STR,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.6561110013, 8.85502002864",Stein am Rhein,0
ROT,FsE OWT-EW,OWT,SEU,,,0,"Abschnitt 1 OWT-SEU, Abschnitt 2 Bhf SEU, soll als Einzelprojekt beauftragt werden",1/1/2023,10/31/2026,200,Sperre Strecke Nacht,0.25,"47.5357669764, 8.73888339067",Seuzach,2
ROT,FbE24 Arbon (ganzer Bhf) + Einfahrweiche Horn,ARB,HN,,,#VALUE!,Antrag auf Schiebung in 2025 Grund: Konflikt Sperrung Rheintal Süd,1/1/2025,12/1/2026,100,Umsetzung,,"47.4931799805, 9.46338787007",Horn,0
ROT,FbE26 WF-KHF Gl 720 (ex FbE22),WF,KHF,,,0.968,Totalsperrung ex 2022,9/5/2026,9/25/2026,3,Sperre Strecke 24 Std,1,"47.5721871628, 9.1697794714",Kehlhof,3
RSD,BRU-AL Unterhaltsfenster,BRU,AL,20.9,36.2,15.3,Unterhaltsfenster,8/25/2024,9/7/2024,2,Sperre Strecke Nacht,0.5,"46.8757386867, 8.6315753775",Altdorf,2
RSD,LED Roullout Los 2,FL,FL,32,33.3,1300,LED Roullot,1/4/2026,5/2/2026,17,Sperre Bahnhof Nacht,0.25,"46.9017301738, 8.6243027189",Flüelen,5
RSD,Vergrössern der Gleisachsabstände beide Seiten,RYN,RYN,37.2,39,1.8,Anlagen Manko,4/1/2025,12/22/2025,38,Sperre Strecke Nacht,0.25,"46.8633479623, 8.63546681711",Rynächt Nord,2
RSD,Erstfeld  Stellwerkersatzt,ER,ER,40.8,42.5,1.7,STW Ersatzt,9/1/2025,3/29/2026,30,Sperre Bahnhof Nacht,0.5,"46.8203393997, 8.65045465313",Erstfeld,5
RSD,BZU23; Bodio,BO,BO,125.4,125.6,0.2,BZU23,3/1/2026,12/12/2026,41,Sperre Bahnhof Nacht,0.25,"46.380254548, 8.90656793402",Bodio TI,5
RSD,FbE24_BO_W_21-22-28_GL_5-35,BO,BO,125.2,125.5,0.3,FbE24,8/19/2024,9/15/2024,4,Sperre Bahnhof Tag,0.5,"46.380254548, 8.90656793402",Bodio TI,4
RSD,"Bodio, nuovo piazzale di carico/scarico",BO,BO,123.9,124.35,0.45,Freiverlad Bodio,4/1/2024,12/22/2024,38,Sperre Bahnhof Tag,0.25,"46.380254548, 8.90656793402",Bodio TI,4
RSD,Phase A9,BEL,GIU,151.876,153.07,1.194,Giubiasco 44-34-24 13-252,11/11/2024,12/1/2024,3,Sperre Strecke Tag,0.25,"46.1738126869, 9.00360006177",Giubiasco,1
RSD,Phase C3 (BIN 200),BEL,GIU,151.652,152.089,0.437,Bellinzona 891-881-871-W901,4/27/2027,5/24/2027,4,Sperre Strecke Nacht,0.25,"46.1738126869, 9.00360006177",Giubiasco,2
RSD,FbE24_CHI_W_103-104-106_GL_122-132,CHI,CHI,,,0.2,FbE24,1/2/2024,1/29/2024,4,Sperre Strecke Nacht,0.25,"45.8321680089, 9.0314495232",Chiasso,2
RSD,Cadenazzo aumento capacità (GV) AS2030/35,CD,CD,159.669,159.831,0.162,AS35,1/1/2024,12/13/2026,154,Sperre Bahnhof Nacht,0.25,"46.1526199984, 8.94169884827",Cadenazzo,5
RSD,Cadenazzo Erhaltungszentrum (IH),CD,CD,,,,ETCS L2 (Anmeld),1/1/2025,12/13/2027,154,Sperre Bahnhof Nacht,0.25,"46.1526199984, 8.94169884827",Cadenazzo,5
RSD,Cham: Perronverlängerung 320m,CHAM,CHAM,43.35,43.75,0.4,AS35,1/1/2026,4/26/2028,121,Sperre Bahnhof Nacht,0.25,"47.178243841, 8.45750481581",Cham,5
RSD,ZG-GD Unterhaltsfenster,ZG,GD,0.16,9.7,9.54,Unterhaltsfenster,5/20/2024,6/2/2024,2,Sperre Strecke Nacht,0.5,"47.049044874, 8.54944633996",Arth-Goldau,2
RME,AS35 GREL-DUG Doppelspurausbau,GREL,DUG,107,111.4,0.1114,Sperrmuster ohne RM,4/1/2023,3/28/2025,104,Sperre Strecke Nacht,1,"47.4534448145, 7.60346074943",Duggingen,2
RME,,OL,BI,,,0,Sperre DpS GREL-DUG,4/1/2025,9/1/2025,22,Umleitung,,"47.1328978528, 7.24291053739",Biel/Bienne,404
RME,,OB,OB,,,0,,2/1/2025,5/30/2025,17,Sperre Bahnhof Nacht,0.25,"47.3052472113, 7.7717238037",Oberbuchsiten,5
RME,,LUT,LUT,,,0,,2/1/2026,5/2/2026,13,Sperre Bahnhof Nacht,0.25,"47.2171492197, 7.58352344644",Luterbach-Attisholz,5
RME,"SO-SW, Ersatz Aarebrücken",SO,SW,74,74.6,0.0746,Wettbewerb brücke; Ausführungszeit inkl. Bauzeit Brücke; BPP Stufe 1 am 31.3.22,1/1/2026,12/29/2027,104,Sperre Strecke 24 Std,0.5,"47.2067172615, 7.53194908407",Solothurn West,3
RME,"OEN=NB, Gl. 104-556",OEN,WAA,57.247,58.028,0.058028,"Zusammen mit BZU NB, FbE22 600er Gleis teilweise im 24",7/1/2024,7/28/2024,4,Sperre Strecke Nacht,0.5,"47.2319565613, 7.65623444913",Wangen an der Aare,2
RME,"FbE: Gl. 492, 62-72, 73-23, 641-2, 7-9, W. 11/12",OLH,OLH,39.844,41.102,0.041102,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.5,"47.348555177, 7.89772397213",Olten Hammer,5
RME,UF Gäu,OLH,SO,,,0,"Total 40 Sperrungen, jeweils Dienstag bis Samstag 08.30h bis 15.30h  10 Sperrungen, 2 Wochen im Frühling und 2 Wochen im Herbst. Bahnersatz: Für Regionalverkehr. Schnellzüge umleiten über NBS-ABS",1/1/2024,12/29/2024,52,Sperre Strecke Tag,0.5,"47.2041925029, 7.54268923738",Solothurn,1
RME,Herzogenbuchsee und Langenthal: Bau von IH- Stützpunkte,HB,LTH,67.5,58.5,0.0585,,1/1/2024,10/26/2025,95,Umsetzung,,"47.2173029163, 7.78471520185",Langenthal,0
RME,"Bern Wankdorf, neue PU und Haltestelle Nord",BWY,LGUT OST,103.3,102.400 109.600,#VALUE!,,8/2/2021,9/14/2025,215,Sperre Strecke 24 Std,0.25,,,3
RME,FbE24 LTH-HB Gleis 365,LTH,HB,64.6,65.415,0.065415,,1/15/2024,12/15/2024,48,Sperre Strecke 24 Std,0.25,"47.1880861101, 7.70095832122",Herzogenbuchsee,3
RME,Cluster mit Totalsperrung SCHH_LN,LN,SCHH,38.1,59.7,0.0597,Div.,4/2/2025,7/29/2025,17,Sperre Strecke 24 Std,1,"46.9506473328, 8.01515060209",Schüpfheim,3
RME,AS35 Zofingen: Schnelle Einfahrt G nach Gleis 4,ZF,ZF,46.8,48.2,0.0482,Inkl. Stellwerkersatz,2/1/2027,8/3/2031,235,Sperre Bahnhof Nacht,0.25,"47.2880525355, 7.94311764754",Zofingen,5
RME,Stellwerkersatz und Fahrbahnerneuerungen,EBR,EBR,87.1,90.9,0.0909,,1/1/2024,1/19/2025,55,Sperre Strecke Nacht,,"47.070601491, 8.28256532837",Emmenbrücke,2
RME,"FMUE, FbE24 W. 9-11, 14-16",LZ,EBR,91.95,91.7,0.0917,,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"47.070601491, 8.28256532837",Emmenbrücke,2
RME,Erneuerung Brücke über die kleine Emme,EBR,FMUE,90.615,90.65,0.09065,,9/1/2024,3/28/2026,82,Umsetzung,,"47.0566007468, 8.28684763509",Fluhmühle (Abzw),0
RME,"FbE24 LZ Weichen 643, 644, 651-655, 657, 658, 704, 705 und Gleis 304",LZ,LZ,94.2,94.6,0.0946,Umbau der Nebenanlage,1/15/2024,12/15/2024,48,Sperre Bahnhof 24 Std,,"47.0501778105, 8.31018315401",Luzern,6
RME,,OL,OL,,,0,"FL Arbeiten UW in Olten, ABO, OLH, RTR, Arbeiten aktuell verzögert",1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,1,"47.3519347412, 7.90769966099",Olten,6
RME,"PR=FRE, Gl. 109",PR,FRE,,,0,,1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"47.5014699912, 7.71911047846",Frenkendorf-Füllinsdorf,2
RME,AS35 Safenwil-Walterswil: Bau Doppelspur inkl. 2. Perron,SAF,WAST,6.5,4.4,0.0044,,1/1/2026,12/25/2030,260,Sperre Strecke Nacht,0.25,"47.3199235956, 7.96320362872",Walterswil-Striegel,2
RME,Umbau Knoten Olten,OL,OL,,,0,,1/1/2030,12/27/2032,156,Sperre Bahnhof 24 Std,0.25,"47.3519347412, 7.90769966099",Olten,6
RME,Totalerneuer. Fahrleitung,MEG,MEG,10.043,11.45,0.01145,Bau Fundamente im 2022,4/2/2024,4/15/2024,2,Sperre Strecke 24 Std,0.25,"47.0501478318, 8.38306144451",Meggen,3
RME,"BZ Mitte, Migration rcs95 auf RCI der Zellen OTH",OTH,OI,65.5,95.9,0.0959,"Benzenschwil, Mellingen, Oberrüti, Othmarsingen, Sins, Wohlen. Abbruch rcs95 Stationen, Bau RCI, Migration aSB9 von S5 auf S7 und  Rückbau rcs95 Zentralen",1/1/2024,12/29/2024,52,Sperre Strecke Nacht,,"47.1659261632, 8.4047794455",Oberrüti,2
RME,RK Projektierung WildTK ZG6 Risch Astra,RK,IM,101.6,102.6,0.1026,Erstellung Wildtierkorridier Spw Brüglen,4/1/2023,2/28/2025,100,Sperre Strecke Nacht,,"47.0916186586, 8.46267208892",Immensee,2
