Abbreviation of the operating point,Name of the operating point,Abkuerzung Betriebspunkt Strecke,Name of operating point distance,LINIE,Kilometry of the operating point,LINIENNAME,VERWALTUNG,E,N,BPUIC,Didok Nummer,Name Haltestelle,lod,geopos_x,geopos_y
CDO,Cadenazzo Ovest (bif),CD,Cadenazzo,630,161.12861,Giubiasco - Locarno,SBB,2714475.8789999997,1112521.245,8515391,15391,Cadenazzo Ovest (bif),http://lod.opentransportdata.swiss/didok/8515391,46.1544462564,8.92051744854
CDO,Cadenazzo Ovest (bif),CD,Cadenazzo,631,161.12861,Cadenazzo - Pino confine,SBB,2714475.8789999997,1112521.245,8515391,15391,Cadenazzo Ovest (bif),http://lod.opentransportdata.swiss/didok/8515391,46.1544462564,8.92051744854
CEL,Celigny,CEL,Celigny,150,43.450759999999995,Lausanne - Geneve-Aeroport,SBB,2504658.576,1133708.562,8501024,1024,Céligny,http://lod.opentransportdata.swiss/didok/8501024,46.3479745705,6.20008722493
CF,La Chaux-de-Fonds,CF,La Chaux-de-Fonds,224,29.456999999999997,Chambrelien Nord - Le Locle (Frontiere),SBB,2553490.069,1216557.03,8504314,4314,La Chaux-de-Fonds,http://lod.opentransportdata.swiss/didok/8504314,47.0983743601,6.82598273812
CFN,La Chaux-de-Fonds Nord,CF,La Chaux-de-Fonds,224,29.065720000000002,Chambrelien Nord - Le Locle (Frontiere),SBB,2553830.779,1216730.618,8515314,15314,La Chaux-de-Fonds Nord,http://lod.opentransportdata.swiss/didok/8515314,47.0999596356,6.83045275761
CFV,Courfaivre,CFV,Courfaivre,240,90.109,Delemont - Delle,SBB,2588854.779,1242701.98,8500121,121,Courfaivre,http://lod.opentransportdata.swiss/didok/8500121,47.3350831253,7.29116575545
CGY,Cugy FR,CGY,Cugy FR,252,23.68366,Yverdon Est - Payerne,SBB,2558066.165,1185133.503,8504133,4133,Cugy FR,http://lod.opentransportdata.swiss/didok/8504133,46.8160282519,6.88916452464
CHAM,Cham,CHAM,Cham,660,43.57412,Thalwil - Zug - Fluhmuhle,SBB,2677232.606,1225755.134,8502203,2203,Cham,http://lod.opentransportdata.swiss/didok/8502203,47.178243841,8.45750481581
CHAV,Chavannes,CHAV,Chavannes,210,93.73299999999999,Daillens - Biel/Bienne,SBB,2576719.188,1214671.0829999999,8504241,4241,Chavannes,http://lod.opentransportdata.swiss/didok/8504241,47.0826380429,7.13205855375
CHI,Chiasso,CHI,Chiasso,600,206.16613999999998,Immensee - Bellinzona - Chiasso,SBB,2723771.7630000003,1076869.762,8505307,5307,Chiasso,http://lod.opentransportdata.swiss/didok/8505307,45.8321680089,9.0314495232
CHN,Chambrelien,CHN,Chambrelien,223,10.3982,Neuchatel-Vauseyon - Chambrelien,SBB,2552331.304,1201972.647,8504234,4234,Chambrelien,http://lod.opentransportdata.swiss/didok/8504234,46.9671090344,6.81225671255
CHNN,Chambrelien Nord (bif),CHN,Chambrelien,223,10.2231,Neuchatel-Vauseyon - Chambrelien,SBB,2552430.956,1202117.72,8515316,15316,Chambrelien Nord (bif),http://lod.opentransportdata.swiss/didok/8515316,46.9684210836,6.81355098678
CHNN,Chambrelien Nord (bif),CHN,Chambrelien,224,10.5849,Chambrelien Nord - Le Locle (Frontiere),SBB,2552430.956,1202117.72,8515316,15316,Chambrelien Nord (bif),http://lod.opentransportdata.swiss/didok/8515316,46.9684210836,6.81355098678
CHW,Chur West (Gleisende),CH,Chur,900,26.70952,Sargans Ost - Chur West (Gleisende),SBB,2758455.0689999997,1190928.376,8515439,15439,Chur West (Gleisende),http://lod.opentransportdata.swiss/didok/8515439,46.8506110992,9.51647462024
CHY,Chambesy,CHY,Chambesy,150,56.781000000000006,Lausanne - Geneve-Aeroport,SBB,2500399.723,1121877.8090000001,8501020,1020,Chambésy,http://lod.opentransportdata.swiss/didok/8501020,46.2409448637,6.14730428549
CLA,Claro,CLA,Claro,600,143.46906,Immensee - Bellinzona - Chiasso,SBB,2721711.045,1123640.034,8505211,5211,Claro,http://lod.opentransportdata.swiss/didok/8505211,46.2531780385,9.01704680856
CN,Corcelles-Nord,CN,Corcelles-Nord,251,60.75736,Palezieux Est - Lyss Nord,SBB,2563507.5719999997,1187236.014,8504123,4123,Corcelles-Nord,http://lod.opentransportdata.swiss/didok/8504123,46.8352620756,6.96029444826
COI,Vernier,COI,Vernier,151,64.775,Geneve St-Jean - La Plaine-Frontiere,SBB,2496241.851,1119699.001,8501007,1007,Vernier,http://lod.opentransportdata.swiss/didok/8501007,46.2207186884,6.09389169475
CORI,Cornaux industrie,CORI,Cornaux industrie,216,1.6,Cornaux - Raffinerie - Juracime,SBB,2568999.977,1209725.517,8516194,16194,Cornaux industrie,http://lod.opentransportdata.swiss/didok/8516194,47.0378360656,7.0307499543
CORN,Cornaux,CORN,Cornaux,216,0.0,Cornaux - Raffinerie - Juracime,SBB,2568439.194,1209810.291,8504223,4223,Cornaux,http://lod.opentransportdata.swiss/didok/8504223,47.0385720221,7.02336560983
CS,Corcelles-Sud,CS,Corcelles-Sud,253,29.73142,Payerne Est - Fribourg Nord,SBB,2563266.514,1186524.361,8504135,4135,Corcelles-Sud,http://lod.opentransportdata.swiss/didok/8504135,46.8288473641,6.95719212459
CTM,Courtemaiche,CTM,Courtemaiche,241,0.0,Courtemaiche - Bure-Casernes,SBB,2571099.681,1256191.682,8500127,127,Courtemaîche,http://lod.opentransportdata.swiss/didok/8500127,47.4558691657,7.05538016199
CVN,La Conversion,CVN,La Conversion,250,4.0037,Lausanne Est - Bern,SBB,2541648.895,1151592.4340000001,8504010,4010,La Conversion,http://lod.opentransportdata.swiss/didok/8504010,46.5130844611,6.67832353213
DAET,Dattwil,DAET,Dattwil,703,47.443329999999996,ZH Oerlikon Nord - Wettingen - Gruemet,SBB,2664278.732,1255781.202,8502108,2108,Dättwil,http://lod.opentransportdata.swiss/didok/8502108,47.4496804716,8.29092900875
DAG,Dagmersellen,DAG,Dagmersellen,500,55.8035,Basel SBB - Olten - Luzern,SBB,2640933.829,1229765.613,8502004,2004,Dagmersellen,http://lod.opentransportdata.swiss/didok/8502004,47.2175579138,7.97902593539
DAIB,Daillens (bif),DAIL,Daillens,200,19.115,Renens VD Ouest - Vallorbe,SBB,2531684.457,1165528.873,8515319,15319,Daillens (bif),http://lod.opentransportdata.swiss/didok/8515319,46.6374980604,6.54642852152
DEU,Les Deurres,DEU,Les Deurres,223,3.102,Neuchatel-Vauseyon - Chambrelien,SBB,2558957.971,1203970.65,8504231,4231,Les Deurres,http://lod.opentransportdata.swiss/didok/8504231,46.9855247117,6.89914841566
DI,Dielsdorf,DI,Dielsdorf,761,17.4629,Oberglatt - Niederweningen Gleisende,SBB,2676939.682,1259572.763,8503315,3315,Dielsdorf,http://lod.opentransportdata.swiss/didok/8503315,47.4824204787,8.45944372616
DN,Deitingen,DN,Deitingen,410,67.59769,Olten - Solothurn - Biel/Bienne,SBB,2613656.095,1229714.827,8500209,209,Deitingen,http://lod.opentransportdata.swiss/didok/8500209,47.2182258248,7.61891295891
DOE,Dottingen,DOE,Dottingen,702,37.35808,Turgi - Koblenz - Waldshut,SBB,2661526.598,1269716.621,8503501,3501,Döttingen,http://lod.opentransportdata.swiss/didok/8503501,47.5752698112,8.25636469972
DOM,Domdidier,DOM,Domdidier,251,66.18946,Palezieux Est - Lyss Nord,SBB,2567425.216,1190909.7659999998,8504125,4125,Domdidier,http://lod.opentransportdata.swiss/didok/8504125,46.8685120951,7.01138262746
DON,Dotzigen,DON,Dotzigen,415,99.18793000000001,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2592344.754,1218636.313,8500220,220,Dotzigen,http://lod.opentransportdata.swiss/didok/8500220,47.1186717422,7.33775423278
DOSS,Dossenboden (Spw),DOSS,Dossenboden (Spw),700,65.10639,Brugg - Pratteln Ost,SBB,2632696.693,1268097.399,8500343,343,Dossenboden (Spw),http://lod.opentransportdata.swiss/didok/8500343,47.562774947,7.87308172662
DTF,Dietfurt,DTF,Dietfurt,853,14.61546,Wil Sud - Wattwil - Uznach,SBB,2723899.546,1245038.219,8506202,6202,Dietfurt,http://lod.opentransportdata.swiss/didok/8506202,47.3445518914,9.07832034289
DTLS,Dietlikon Sud (Abzw),DTL,Dietlikon,745,109.73971,ZH Langstrasse - Dietlikon Sud (S-Bahn),SBB,2688945.25,1252406.0829999999,8515440,15440,Dietlikon Süd (Abzw),http://lod.opentransportdata.swiss/didok/8515440,47.416456134,8.61728068206
ECLN,Eclepens Nord (bif),ECL,Eclepens,210,21.56,Daillens - Biel/Bienne,SBB,2532130.34,1167889.522,8515327,15327,Eclépens Nord (bif),http://lod.opentransportdata.swiss/didok/8515327,46.6587775282,6.5519022263
EDA,Ennenda,EDA,Ennenda,736,69.51085,Ziegelbrucke Ost - Linthal Gleisende,SBB,2724537.912,1210402.239,8503231,3231,Ennenda,http://lod.opentransportdata.swiss/didok/8503231,47.0329595526,9.07719377906
EINF,Einfang (Abzw),EINF,Einfang (Abzw),708,6.32009,Zurich Altstetten - Einfang,SBB,2677295.9269999997,1250282.946,8503510,3510,Einfang (Abzw),http://lod.opentransportdata.swiss/didok/8503510,47.398832642,8.46256172893
EINF,Einfang (Abzw),EINF,Einfang (Abzw),710,6.31936,Zurich HB - Brugg AG,SBB,2677295.9269999997,1250282.946,8503510,3510,Einfang (Abzw),http://lod.opentransportdata.swiss/didok/8503510,47.398832642,8.46256172893
ERLB,Erlenbach ZH,ERLB,Erlenbach ZH,730,13.472489999999999,Zurich Stadelhofen - Rapperswil,SBB,2687182.35,1240074.7040000001,8503102,3102,Erlenbach ZH,http://lod.opentransportdata.swiss/didok/8503102,47.3057919232,8.59152235647
ESCH,Escholzmatt,ESCH,Escholzmatt,460,52.18869,Gumligen Sud - Fluhmuhle,SBB,2637916.2830000003,1196147.274,8508210,8210,Escholzmatt,http://lod.opentransportdata.swiss/didok/8508210,46.9153481956,7.93637791795
ESL,Eschlikon,ESL,Eschlikon,850,117.4467,St.Gallen - Winterthur Nord,SBB,2714597.6569999997,1257855.1809999999,8506011,6011,Eschlikon,http://lod.opentransportdata.swiss/didok/8506011,47.4614910495,8.95853624143
EV,Evionnaz,EV,Evionnaz,100,57.854659999999996,Lausanne - Simplon Tunnel I - Iselle,SBB,2568092.404,1113171.261,8501404,1404,Evionnaz,http://lod.opentransportdata.swiss/didok/8501404,46.1692543709,7.02551810099
EVOU,Les Evouettes,EVOU,Les Evouettes,131,19.526139999999998,Les Paluds - St-Gingolph (Frontiere),SBB,2556966.445,1134763.808,8501425,1425,Les Evouettes,http://lod.opentransportdata.swiss/didok/8501425,46.3628669916,6.87947028534
EWW,Etzwilen West (Abzw),EW,Etzwilen,821,31.55627,Oberwinterthur - Etzwilen West (Abzw),SBB,2703415.022,1279787.347,8515443,15443,Etzwilen West (Abzw),http://lod.opentransportdata.swiss/didok/8515443,47.6605651074,8.81535639795
EZG,Etzgen,EZG,Etzgen,701,60.94359,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2650083.056,1269297.788,8500324,324,Etzgen,http://lod.opentransportdata.swiss/didok/8500324,47.5724755147,8.10423078329
FMS,Flums,FMS,Flums,890,9.7298,Sargans Ost - Ziegelbrucke,SBB,2744938.988,1217942.392,8509413,9413,Flums,http://lod.opentransportdata.swiss/didok/8509413,47.0966166348,9.34792927358
FMUE,Fluhmuhle (Abzw),FMUE,Fluhmuhle (Abzw),460,91.83103,Gumligen Sud - Fluhmuhle,SBB,2664443.1890000002,1212078.436,8505043,5043,Fluhmühle (Abzw),http://lod.opentransportdata.swiss/didok/8505043,47.0566007468,8.28684763509
FSMN,Faido SMF Nord,FSMF,Faido SMF,598,239.82064,Cambiamento binari Faido SMF,SBB,2705073.2369999997,1150991.197,8518324,18324,Faido SMF Nord,http://lod.opentransportdata.swiss/didok/8518324,46.5019871941,8.807515251
FSMS,Faido SMF Sud,FSMF,Faido SMF,598,240.87636,Cambiamento binari Faido SMF,SBB,2705642.9269999997,1150107.237,8518325,18325,Faido SMF Süd,http://lod.opentransportdata.swiss/didok/8518325,46.4939470012,8.81473359235
FU,Full,FU,Full,701,52.26117,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2657022.036,1273467.11,8500327,327,Full,http://lod.opentransportdata.swiss/didok/8500327,47.6094052204,8.19698049811
FUBI,Furet (bif),FUBI,Furet (bif),151,62.59316,Geneve St-Jean - La Plaine-Frontiere,SBB,2497887.71,1118340.74,8501028,1028,Furet (bif),http://lod.opentransportdata.swiss/didok/8501028,46.2087541607,6.11551600358
GDA,Gordola,GDA,Gordola,630,166.56798999999998,Giubiasco - Locarno,SBB,2710197.5939999996,1115176.397,8505402,5402,Gordola,http://lod.opentransportdata.swiss/didok/8505402,46.1790403,8.86577323899
GDNW,Arth-Goldau Nordwest,GD,Arth-Goldau,665,15.7583,Zug Sud - Arth-Goldau,SBB,2684412.861,1211511.327,8515396,15396,Arth-Goldau Nordwest,http://lod.opentransportdata.swiss/didok/8515396,47.0492579986,8.54955670423
GDO,Arth-Goldau Ost (Abzw),GD,Arth-Goldau,673,38.19952,Biberbrugg - Arth-Goldau,SBB,2684853.9039999996,1211451.985,8515397,15397,Arth-Goldau Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515397,47.0486678916,8.5553491702
GELN,Gellert Nord (Abzw),GELL,Gellert,520,3.12222,Gellert - Basel Bad DB,SBB,2613296.639,1267360.18,8515399,15399,Gellert Nord (Abzw),http://lod.opentransportdata.swiss/didok/8515399,47.5568225163,7.61528129673
GELN,Gellert Nord (Abzw),GELL,Gellert,522,0.7378399999999999,Umfahrung Nord: Gellert - Pratteln,SBB,2613296.639,1267360.18,8515399,15399,Gellert Nord (Abzw),http://lod.opentransportdata.swiss/didok/8515399,47.5568225163,7.61528129673
GELW,Gellert West (Abzw),GELL,Gellert,500,1.518,Basel SBB - Olten - Luzern,SBB,2612755.183,1266154.824,8515400,15400,Gellert West (Abzw),http://lod.opentransportdata.swiss/didok/8515400,47.5459925428,7.60805304516
GEPB,Geneve-La-Praille (bif),GEPR,Geneve-La-Praille,152,65.033,St-Jean - Geneve-Eaux-Vives - Annemasse,SBB,2498561.1180000002,1114985.647,8517141,17141,Genève-La-Praille (bif),http://lod.opentransportdata.swiss/didok/8517141,46.1786793364,6.12496904718
GEPO,Geneve Poste 1,GE,Geneve,158,59.4,Geneve Poste 1 - Geneve FB - Geneve,SBB,2500130.147,1119284.219,8501038,1038,Genève Poste 1,http://lod.opentransportdata.swiss/didok/8501038,46.2175771005,6.14436535858
GEPR,Geneve-La-Praille,GEPR,Geneve-La-Praille,152,64.544,St-Jean - Geneve-Eaux-Vives - Annemasse,SBB,2498624.345,1115475.674,8501009,1009,Genève-La-Praille,http://lod.opentransportdata.swiss/didok/8501009,46.183096269,6.12568127834
GEXI,Gexi,GEXI,Gexi,654,63.882380000000005,Gexi - Hendschiken Nord (Gleis links),SBB,2656927.433,1249351.378,8502133,2133,Gexi,http://lod.opentransportdata.swiss/didok/8502133,47.3925293742,8.1926417889
GEXO,Gexi Ost (Abzw),GEXI,Gexi,650,30.01033,Killwangen West - Lenzburg - Daniken Ost,SBB,2657123.07,1249394.057,8515401,15401,Gexi Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515401,47.3928962991,8.19523837476
GIB,Gibswil,GIB,Gibswil,754,34.70027,Winterthur Gruze - Bauma - Ruti ZH West,SBB,2711663.275,1241366.574,8503137,3137,Gibswil,http://lod.opentransportdata.swiss/didok/8503137,47.3137200698,8.91551049142
GIU,Giubiasco,GIU,Giubiasco,600,154.04336,Immensee - Bellinzona - Chiasso,SBB,2720850.3019999997,1114798.345,8505214,5214,Giubiasco,http://lod.opentransportdata.swiss/didok/8505214,46.1738126869,9.00360006177
GIUO,Giubiasco Ovest,GIU,Giubiasco,630,155.28297,Giubiasco - Locarno,SBB,2719914.216,1113994.893,8515975,15975,Giubiasco Ovest,http://lod.opentransportdata.swiss/didok/8515975,46.1667539156,8.99127552848
GLBS,Glattbrugg Sud (Abzw),GLBS,Glattbrugg Sud (Abzw),760,6.75063,Zurich Hardbrucke  - Bulach,SBB,2684529.2,1253463.252,8515460,15460,Glattbrugg Süd (Abzw),http://lod.opentransportdata.swiss/didok/8515460,47.4265452537,8.55896964474
GLO,Glovelier,GLO,Glovelier,240,96.39549,Delemont - Delle,SBB,2582668.2709999997,1242730.9740000002,8500123,123,Glovelier,http://lod.opentransportdata.swiss/didok/8500123,47.3352094839,7.20931275509
GLZB,Glanzenberg,GLZB,Glanzenberg,710,9.5493,Zurich HB - Brugg AG,SBB,2674116.452,1250247.4409999999,8503512,3512,Glanzenberg,http://lod.opentransportdata.swiss/didok/8503512,47.3988787163,8.42044184995
GOL,Goldach,GOL,Goldach,880,67.99557,Sargans Ost - St.Gallen,SBB,2752891.535,1260090.074,8506305,6305,Goldach,http://lod.opentransportdata.swiss/didok/8506305,47.473798113,9.46699699229
GRO,Grolley,GRO,Grolley,253,40.118140000000004,Payerne Est - Fribourg Nord,SBB,2571574.018,1186827.1409999998,8504138,4138,Grolley,http://lod.opentransportdata.swiss/didok/8504138,46.8319788359,7.06605257065
GRUO,Gruonbach (Spw),GRUO,Gruonbach (Spw),600,30.87395,Immensee - Bellinzona - Chiasso,SBB,2690182.6560000004,1196536.0690000001,8505140,5140,Gruonbach (Spw),http://lod.opentransportdata.swiss/didok/8505140,46.9151600374,8.62387995177
GSAG,Emmenbrucke Gersag,GSAG,Emmenbrucke Gersag,500,89.155,Basel SBB - Olten - Luzern,SBB,2663655.6,1214484.071,8502028,2028,Emmenbrücke Gersag,http://lod.opentransportdata.swiss/didok/8502028,47.0783141693,8.2768200794
GZ,Galmiz,GZ,Galmiz,251,80.67399999999999,Palezieux Est - Lyss Nord,SBB,2578271.699,1200016.23,8504129,4129,Galmiz,http://lod.opentransportdata.swiss/didok/8504129,46.9508706262,7.15320735697
HED,Hedingen,HED,Hedingen,711,22.10764,ZH Hardbrucke - Kollermuhle,SBB,2676185.9469999997,1239144.259,8502223,2223,Hedingen,http://lod.opentransportdata.swiss/didok/8502223,47.2987852368,8.44596559321
HGO,Horgen Oberdorf,HGO,Horgen Oberdorf,660,16.812720000000002,Thalwil - Zug - Fluhmuhle,SBB,2687130.0360000003,1234843.269,8502208,2208,Horgen Oberdorf,http://lod.opentransportdata.swiss/didok/8502208,47.2587498232,8.58981587397
HI,Hinwil,HI,Hinwil,742,13.965770000000001,Hinwil - Baretswil - Bauma,SBB,2705960.695,1239742.648,8503130,3130,Hinwil,http://lod.opentransportdata.swiss/didok/8503130,47.3000569675,8.83971996098
HO,Hochdorf,HO,Hochdorf,651,13.714820000000001,Hubeli - Beinwil - Lenzburg,SBB,2664450.999,1224350.048,8502024,2024,Hochdorf,http://lod.opentransportdata.swiss/didok/8502024,47.1669752066,8.28869963779
HRD,Hard Kaferberg (Abzw),HRD,Hard Kaferberg (Abzw),760,1.19544,Zurich Hardbrucke  - Bulach,SBB,2680997.068,1249520.2340000002,8503038,3038,Hard Käferberg (Abzw),http://lod.opentransportdata.swiss/didok/8503038,47.3915284925,8.51144653427
HRDF,Hardfeld (Spw),HRDF,Hardfeld (Spw),457,91.6572,Hardfeld (Spw) - Mattstetten,SBB,2606788.286,1209642.832,8508000,8000,Hardfeld (Spw),http://lod.opentransportdata.swiss/didok/8508000,47.0377869532,7.5279469397
HURW,Hurlistein West,HUER,Hurlistein (Abzw),751,13.68029,ZH Langstr. - Wallisellen - Winterthur,SBB,2691345.703,1253329.672,8518270,18270,Hürlistein West,http://lod.opentransportdata.swiss/didok/8518270,47.4244333608,8.64927403236
INKV,Inkwil (Verzw),WANZ,Wanzwil (Abzw),415,70.59943,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2617131.905,1227196.055,8516770,16770,Inkwil (Verzw),http://lod.opentransportdata.swiss/didok/8516770,47.1954896418,7.66470442046
JON,Jonction (Geneve),JON,Jonction (Geneve),154,0.9406,Furet - Jonction,SBB,2498286.872,1117563.821,8501041,1041,Jonction (Genève),http://lod.opentransportdata.swiss/didok/8501041,46.2018268071,6.12085649953
KAB,Kaltbrunn,KAB,Kaltbrunn,853,30.981990000000003,Wil Sud - Wattwil - Uznach,SBB,2719961.0489999996,1230882.529,8503117,3117,Kaltbrunn,http://lod.opentransportdata.swiss/didok/8503117,47.2179832172,9.0224310375
KAL,Kallnach,KAL,Kallnach,251,91.37025,Palezieux Est - Lyss Nord,SBB,2584534.831,1208295.928,8504402,4402,Kallnach,http://lod.opentransportdata.swiss/didok/8504402,47.0255234087,7.23519646251
KB,Koblenz,KB,Koblenz,702,41.128640000000004,Turgi - Koblenz - Waldshut,SBB,2659293.0330000003,1272481.279,8500329,329,Koblenz,http://lod.opentransportdata.swiss/didok/8500329,47.600338308,8.22704965762
KBGR,Koblenz Grenze,KBGR,Koblenz Grenze,702,42.68535,Turgi - Koblenz - Waldshut,SBB,2659825.475,1273465.9840000002,8500330,330,Koblenz Grenze,http://lod.opentransportdata.swiss/didok/8500330,47.6091454941,8.23426196205
KI,Kiesen,KI,Kiesen,290,128.303,Bern Wylerfeld - Thun,SBB,2610444.7369999997,1185319.1609999998,8507008,7008,Kiesen,http://lod.opentransportdata.swiss/didok/8507008,46.818943814,7.57550132419
KLWW,Killwangen West (Abzw),KLW,Killwangen-Spreitenbach,691,16.5184,RBL Kopf Zurich - Killwangen West,SBB,2668725.525,1254231.03,8515450,15450,Killwangen West (Abzw),http://lod.opentransportdata.swiss/didok/8515450,47.4352897624,8.34964761959
KN,Kempten,KN,Kempten,753,15.75999,Effretikon - Wetzikon - Hinwil,SBB,2703252.16,1243251.66,8503300,3300,Kempten,http://lod.opentransportdata.swiss/didok/8503300,47.3320431153,8.8047206925
KOL,Kollbrunn,KOL,Kollbrunn,754,8.64454,Winterthur Gruze - Bauma - Ruti ZH West,SBB,2700692.7819999997,1257249.965,8506004,6004,Kollbrunn,http://lod.opentransportdata.swiss/didok/8506004,47.4583241586,8.774016908
KRB,Kreuzlingen Bernrain,KRB,Kreuzlingen Bernrain,831,36.23236,Weinfelden - Tagermoos,SBB,2729585.318,1278252.728,8506197,6197,Kreuzlingen Bernrain,http://lod.opentransportdata.swiss/didok/8506197,47.6421145154,9.16320415414
KURZ,Kurzrickenbach Seepark,KURZ,Kurzrickenbach Seepark,824,98.85022,Romanshorn - Konstanz,SBB,2732073.788,1278415.446,8506119,6119,Kurzrickenbach Seepark,http://lod.opentransportdata.swiss/didok/8506119,47.6430808717,9.19635939851
KWL,Kesswil,KWL,Kesswil,824,88.08993000000001,Romanshorn - Konstanz,SBB,2741295.68,1273336.981,8506123,6123,Kesswil,http://lod.opentransportdata.swiss/didok/8506123,47.5954977706,9.31742725045
KZW,Kerzers West (Abzw),KZ,Kerzers,251,84.64406,Palezieux Est - Lyss Nord,SBB,2581239.596,1202539.827,8518338,18338,Kerzers West (Abzw),http://lod.opentransportdata.swiss/didok/8518338,46.9736615574,7.1920890556
LAM,Lamone-Cadempino,LAM,Lamone-Cadempino,600,176.09835,Immensee - Bellinzona - Chiasso,SBB,2715615.26,1099786.737,8505219,5219,Lamone-Cadempino,http://lod.opentransportdata.swiss/didok/8505219,46.0397186421,8.93212502393
LAPR,Lancy-Pont-Rouge,LAPR,Lancy-Pont-Rouge,152,64.222,St-Jean - Geneve-Eaux-Vives - Annemasse,SBB,2498572.961,1115793.29,8516155,16155,Lancy-Pont-Rouge,http://lod.opentransportdata.swiss/didok/8516155,46.1859452996,6.12494698268
LBSE,Lenzburg Seetal,LB,Lenzburg,651,42.044,Hubeli - Beinwil - Lenzburg,SBB,2655299.3140000002,1249122.245,8518791,18791,Lenzburg Seetal,http://lod.opentransportdata.swiss/didok/8518791,47.3906072575,8.17104991352
LBW,Lenzburg West (Abzw),LB,Lenzburg,645,60.180119999999995,Lenzburg West - Suhr,SBB,2654909.42,1249348.182,8515407,15407,Lenzburg West (Abzw),http://lod.opentransportdata.swiss/didok/8515407,47.3926718333,8.1659139374
LECR,Lecheires (bif),LECR,Lecheires (bif),169,13.20909,Lausanne-Triage sect. - Bussigny,SBB,2531895.696,1154107.7820000001,8501148,1148,Lécheires (bif),http://lod.opentransportdata.swiss/didok/8501148,46.5347871189,6.55087778174
LEI,Leibstadt,LEI,Leibstadt,701,55.271269999999994,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2654675.985,1271647.325,8500326,326,Leibstadt,http://lod.opentransportdata.swiss/didok/8500326,47.5932391515,8.16555699302
LEN,Lengnau,LEN,Lengnau,410,87.993,Olten - Solothurn - Biel/Bienne,SBB,2594536.583,1225388.844,8500201,201,Lengnau,http://lod.opentransportdata.swiss/didok/8500201,47.1794313873,7.36655363682
LENG,Lengwil,LENG,Lengwil,831,33.44794,Weinfelden - Tagermoos,SBB,2731660.711,1276461.737,8506196,6196,Lengwil,http://lod.opentransportdata.swiss/didok/8506196,47.6255977915,9.19028315307
LF,Laufelfingen,LF,Laufelfingen,503,30.821690000000004,Sissach - Laufelfingen - Olten,SBB,2631529.418,1249117.8329999999,8500035,35,Läufelfingen,http://lod.opentransportdata.swiss/didok/8500035,47.3921328646,7.85623160355
LFG,Laufenburg,LFG,Laufenburg,701,65.51100000000001,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2646863.7630000003,1267858.4409999999,8500322,322,Laufenburg,http://lod.opentransportdata.swiss/didok/8500322,47.5597684142,8.06129609295
LFN,Laufen,LFN,Laufen,230,100.60738,Delemont Est - Basel SBB Ost,SBB,2604830.4790000003,1252061.853,8500113,113,Laufen,http://lod.opentransportdata.swiss/didok/8500113,47.4193464565,7.50263614416
LG,Lugano,LG,Lugano,600,180.44953,Immensee - Bellinzona - Chiasso,SBB,2716839.415,1096005.55,8505300,5300,Lugano,http://lod.opentransportdata.swiss/didok/8505300,46.0055005508,8.94699524398
LGP,Lugano-Paradiso,LGP,Lugano-Paradiso,600,182.885,Immensee - Bellinzona - Chiasso,SBB,2716865.709,1094212.83,8505301,5301,Lugano-Paradiso,http://lod.opentransportdata.swiss/didok/8505301,45.9893726405,8.94688976278
LINB,Linthal Braunwaldbahn,LINB,Linthal Braunwaldbahn,736,83.96514,Ziegelbrucke Ost - Linthal Gleisende,SBB,2719092.673,1198664.175,8503240,3240,Linthal Braunwaldbahn,http://lod.opentransportdata.swiss/didok/8503240,46.9283958293,9.00249138427
LITT,Litti (Baar),LITT,Litti (Baar),660,24.516,Thalwil - Zug - Fluhmuhle,SBB,2683119.27,1229243.269,8502242,2242,Litti (Baar),http://lod.opentransportdata.swiss/didok/8502242,47.2089019466,8.53579702543
LLA,La Lance (diag),LLA,La Lance (diag),210,52.445,Daillens - Biel/Bienne,SBB,2546828.794,1190060.14,8515758,15758,La Lance (diag),http://lod.opentransportdata.swiss/didok/8515758,46.8595387095,6.74135034335
LN,Langnau i.E.,LN,Langnau i.E.,460,37.4672,Gumligen Sud - Fluhmuhle,SBB,2626312.175,1198741.352,8508207,8207,Langnau iE,http://lod.opentransportdata.swiss/didok/8508207,46.9392422605,7.78419750003
LNTO,Neustadttunnel Ost (Vzw),LZTB,Luzern Tiefbahnhof,9571,0.0,Ebikon Sud - Neustadttunnel West,SBB,2666281.0,1210739.0,8509012,9012,Neustadttunnel Ost (Vzw),http://lod.opentransportdata.swiss/didok/8509012,47.0443720384,8.31083947463
LO,Locarno,LO,Locarno,630,171.94048,Giubiasco - Locarno,SBB,2705237.205,1114352.147,8505400,5400,Locarno,http://lod.opentransportdata.swiss/didok/8505400,46.1724202172,8.80136083521
LONB,Lonay B (bif),LON,Lonay-Preverenges,150,9.7108,Lausanne - Geneve-Aeroport,SBB,2529846.956,1153022.02,8515337,15337,Lonay B (bif),http://lod.opentransportdata.swiss/didok/8515337,46.52480869,6.52433937971
